rank,word,total
1476,historical,29362
1477,medicine,27859
1478,tour,33877
1479,depend,27226
1480,photo,96626
1481,finding,31073
1482,grab,29141
1483,direct,27915
1484,classroom,30080
1485,contact,27424
1486,justice,43131
1487,participate,28621
1488,daily,27308
1489,fair,30013
1490,pair,27554
1491,famous,26669
1492,exercise,27725
1493,knee,27986
1494,flower,27265
1495,tape,26497
1496,hire,27251
1497,familiar,26480
1498,appropriate,28077
1499,supply,26939
1500,fully,27120
1501,cut,28101
1502,actor,28686
1503,will,48882
1504,birth,26506
1505,search,24475
1506,tie,26498
1507,democracy,27561
1508,eastern,26882
1509,primary,28506
1510,yesterday,27892
1511,circle,26662
1512,device,27382
1513,progress,26964
1514,next,27956
1515,front,26463
1516,bottom,26768
1517,island,47052
1518,exchange,26554
1519,clean,26642
1520,studio,26579
1521,train,25990
1522,lady,38224
1523,colleague,26543
1524,application,27781
1525,lean,29029
1526,neck,28054
1527,damage,26047
1528,plastic,26626
1529,tall,27360
1530,plate,26946
1531,hate,27207
1532,otherwise,25750
1533,writing,27257
1534,press,27416
1535,male,26809
1536,start,26453
1537,alive,26440
1538,expression,26661
1539,football,27691
1540,theater,35604
1541,intend,25406
1542,attack,26063
1543,chicken,27539
1544,army,45866
1545,abuse,26768
1546,shut,27041
1547,map,25533
1548,extra,26344
1549,session,26562
1550,welcome,27845
1551,danger,25048
1552,domestic,26234
1553,lots,25771
1554,literature,28329
1555,rain,25903
1556,desire,25821
1557,assessment,29064
1558,injury,26222
1559,respect,24947
1560,paint,25367
1561,northern,25501
1562,nod,29713
1563,fuel,26637
1564,leaf,25938
1565,direct,25222
1566,dry,25827
1567,russian,25618
1568,instruction,27235
1569,fight,25373
1570,pool,25237
1571,climb,26071
1572,sweet,26489
1573,lead,25354
1574,engine,25763
1575,fourth,25230
1576,salt,32585
1577,expand,25346
1578,importance,26981
1579,metal,25132
1580,fat,27230
1581,ticket,25996
1582,software,25614
1583,disappear,25180
1584,corporate,24923
1585,strange,25611
1586,reading,30265
1587,lip,27462
1588,urban,25836
1589,mental,26472
1590,increasingly,25344
1591,lunch,25054
1592,educational,27880
1593,somewhere,25521
1594,farmer,25384
1595,above,25231
1596,sugar,28327
1597,planet,25841
1598,favorite,25700
1599,explore,25991
1600,obtain,26380
1601,enemy,24759
1602,greatest,24471
1603,complex,25615
1604,surround,24177
1605,athlete,25750
1606,invite,24168
1607,repeat,24519
1608,carefully,24496
1609,soul,24666
1610,scientific,25193
1611,impossible,24088
1612,panel,24814
1613,meaning,25857
1614,mom,42329
1615,married,24072
1616,instrument,25310
1617,alone,24915
1618,predict,24740
1619,weather,25083
1620,presidential,25798
1621,commitment,24972
1622,emotional,24755
1623,supreme,25863
1624,bear,23972
1625,pocket,25524
1626,thin,25212
1627,temperature,25097
1628,poll,26079
1629,surprise,24338
1630,proposal,24813
1631,consequence,25157
1632,half,23880
1633,breath,26983
1634,sight,24770
1635,cover,24457
1636,balance,24024
1637,adopt,24595
1638,minority,26467
1639,straight,24952
1640,attempt,24380
